OC,B1,B2,B3,B4,B5,B6,B7,NDVI,B1_bare,B2_bare,B3_bare,B4_bare,B5_bare,B6_bare,B7_bare
2.5,0.0667198,0.0709387,0.122556,0.141999,0.349582,0.309006,0.216917,0.422276288,0.114259703,0.131275,0.188076333,0.244662333,0.367151997,0.441446667,0.35729333
2.7,0.0203034,0.0227335,0.0699629,0.0720994,0.403743,0.22544,0.128753,0.696961011,0.112035,0.120867,0.187002,0.25543901,0.382321,0.46265,0.35282001
2.9,0.0664518,0.0685755,0.114607,0.131696,0.33605,0.234917,0.152932,0.436890962,0.092325467,0.096696767,0.148659,0.243063667,0.361247,0.434933067,0.354317333
3.2,0.0660767,0.0717953,0.110145,0.139914,0.332497,0.341019,0.216442,0.407659856,0.10119185,0.114753,0.17679475,0.2380395,0.334357745,0.435080253,0.353696745
3.3,0.0899574,0.0932713,0.136233,0.164663,0.354007,0.36118,0.247354,0.36505678,0.10119185,0.114753,0.17679475,0.2380395,0.334357745,0.435080253,0.353696745
3.9,0.0883115,0.0943493,0.134208,0.160497,0.306314,0.36031,0.268414,0.312368389,0.0916,0.1014,0.1706,0.2421,0.3408,0.4316,0.3517
3.9,0.0612167,0.0663351,0.109511,0.143685,0.320012,0.29509,0.220943,0.380263405,0.0916,0.1014,0.1706,0.2421,0.3408,0.4316,0.3517
4,0.0485275,0.0558722,0.0968247,0.136206,0.270312,0.326861,0.213081,0.329889451,0.075588825,0.0841932,0.15249125,0.230598753,0.328223622,0.419366568,0.335572725
4,0.036012,0.0354763,0.0701027,0.0822767,0.265198,0.230821,0.149804,0.526430557,0.075588825,0.0841932,0.15249125,0.230598753,0.328223622,0.419366568,0.335572725
4.2,0.044228,0.038101,0.0661572,0.0533874,0.391684,0.189778,0.117217,0.760095122,0.087067067,0.086247,0.140491003,0.230606663,0.318598333,0.411432667,0.32355
4.5,0.0576078,0.0516955,0.0916825,0.0745481,0.400848,0.227053,0.144963,0.686374794,0.102117,0.11555799,0.17033501,0.253175,0.35756999,0.43587401,0.35853001
4.6,0.0741452,0.0776787,0.129224,0.144182,0.473611,0.337852,0.235791,0.533235242,0.0991334,0.1040253,0.160505,0.21642801,0.29169101,0.40490801,0.348568
4.7,0.0570827,0.0615575,0.106747,0.140577,0.346993,0.278401,0.192015,0.423356646,0.0959835,0.1007873,0.1592249,0.217605,0.30284301,0.402418,0.33510599
